order_exe_time_millis,trade_count
95,0
95,0
95,0
95,0
96,0
96,0
95,0
95,0
95,0
95,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
96,0
547,0
547,0
547,0
547,0
547,0
547,0
547,0
547,0
547,0
548,0
548,0
548,0
548,0
548,0
547,0
547,0
547,0
548,0
548,0
548,0
548,0
548,0
549,0
550,0
551,0
551,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
553,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
554,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
555,0
556,0
556,0
556,0
556,0
556,0
556,0
556,0
556,0
556,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
557,0
558,0
558,0
558,0
558,0
558,0
558,0
558,0
625,0
625,0
627,0
627,0
632,0
632,0
632,0
632,0
632,0
632,0
632,0
632,0
632,0
632,0
632,0
633,0
633,0
633,0
633,0
633,0
633,0
633,0
633,0
633,0
633,0
633,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
634,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
636,0
636,0
636,0
636,0
636,0
636,0
636,0
636,0
636,0
636,0
636,0
637,0
637,0
637,0
637,0
637,0
637,0
637,0
637,0
637,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
635,0
636,0
636,0
636,0
636,0
636,0
637,0
637,0
638,0
638,0
638,0
638,0
638,0
638,0
638,0
638,0
638,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
640,0
640,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
644,0
644,0
644,0
644,0
644,0
644,0
644,0
644,0
644,0
644,0
645,0
645,0
642,0
642,0
642,0
642,0
642,0
642,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
642,0
643,0
643,0
641,0
641,0
642,0
642,0
642,0
642,0
643,0
644,0
644,0
644,0
644,0
644,0
646,0
647,0
647,0
644,0
644,0
644,0
644,0
644,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
646,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
645,0
646,0
645,0
644,0
644,0
644,0
644,0
644,0
644,0
645,0
644,0
644,0
645,0
644,0
644,0
644,0
644,0
644,0
643,0
644,0
644,0
644,0
644,0
644,0
644,0
644,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
643,0
642,0
642,0
642,0
642,0
642,0
642,0
641,0
642,0
642,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
641,0
640,0
640,0
640,0
640,0
640,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
639,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
631,0
45,0
44,0
43,0
53,0
53,0
42,0
41,0
41,0
41,0
41,0
38,0
17,0
42,0
42,0
42,0
42,0
42,0
42,0
43,0
43,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
52,0
51,0
51,0
50,0
50,0
66,0
66,0
65,0
65,0
63,0
63,0
63,0
62,0
61,0
61,0
60,0
60,0
59,0
59,0
59,0
58,0
57,0
48,0
48,0
48,0
48,0
48,0
48,0
51,0
51,0
51,0
51,0
51,0
49,0
48,0
59,0
60,0
60,0
60,0
60,0
60,0
61,0
61,0
61,0
61,0
61,0
61,0
61,0
60,0
59,0
59,0
59,0
58,0
57,0
56,0
56,0
56,0
56,0
55,0
77,0
76,0
75,0
75,0
75,0
75,0
73,0
73,0
72,0
72,0
72,0
71,0
71,0
70,0
69,0
69,0
68,0
67,0
67,0
69,0
69,0
69,0
68,0
66,0
62,0
62,0
58,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
27,0
28,0
28,0
28,0
78,0
78,0
78,0
78,0
78,0
79,0
79,0
79,0
79,0
79,0
79,0
79,0
79,0
79,0
80,0
97,0
97,0
97,0
97,0
97,0
98,0
98,0
100,0
100,0
102,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
121,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
122,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
123,0
238,0
238,0
238,0
238,0
238,0
238,0
239,0
239,0
239,0
239,0
239,0
239,0
239,0
239,0
239,0
276,0
